number,name,status
5,Disallow return/break/continue that exit a finally block,Final
8,Protecting the C API from Interpreter Finalization,Final
9,Criteria for supported status for free-threaded Python,Final
2,Add PyBytesWriter C API,Final
1,Python Configuration C API,Final
7,Annotating Type Forms,Final
7,C API to import-export Python integers,Final
8,Allow,Final
0,Template Strings,Final
1,A file format to record Python dependencies for installation reproducibility,Final
9,Implementing PEP 649,Final
5,Dependency Groups in pyproject.toml,Final
2,Narrowing types with TypeIs,Final
0,Index support for digital attestations,Final
8,Adding Android as a supported platform,Final
7,C API to format a type fully qualified name,Final
4,Multiple Interpreters in the Stdlib,Final
0,Adding iOS as a supported platform,Final
3,Inline script metadata,Final
1,Using tarfile.data_filter for source distribution extraction,Final
5,Disabling bdist_egg distribution uploads on PyPI,Final
6,Filter for tarfile.extractall,Final
8,Override Decorator for Static Typing,Final
9,Inlined comprehensions,Final
0,Additional Fields for the Simple API for Package Indexes,Final
5,TypedDict: Read-only items,Final
2,Marking deprecations using the type system,Final
9,Unstable C API tier,Final
6,Type Defaults for Type Parameters,Final
7,Limited C API for Extending Opaque Types,Final
2,Using TypedDict for more precise **kwargs typing,Final
5,Type Parameter Syntax,Final
2,Format Specifier for Signed Zero,Final
8,Making the buffer protocol accessible in Python,Final
6,Make UTF-8 mode default,Final
4,A Per-Interpreter GIL,Final
5,Comparison of extra names for optional distribution dependencies,Final
3,"Immortal Objects, Using a Fixed Refcount",Final
1,Data Class Transforms,Final
0,tomllib: Support for Parsing TOML in the Standard Library,Final
1,Sentinel Values,Final
8,Enriching Exceptions with Notes,Final
0,Convert macros to functions in the Python C API,Final
3,Self Type,Final
5,Arbitrary Literal String Type,Final
9,Low Impact Monitoring for CPython,Final
5,Marking individual TypedDict items as required or potentially-missing,Final
2,Maintaining the Stable ABI,Final
7,Consistent views of namespaces,Final
0,Editable installs for pyproject.toml based builds (wheel based),Final
7,Include Fine Grained Error Locations in Tracebacks,Final
6,Platform Tag for Linux Distributions Using Musl,Final
9,Deferred Evaluation Of Annotations Using Descriptors,Final
4,Exception Groups and except*,Final
7,User-Defined Type Guards,Final
4,Require OpenSSL 1.1.1 or newer,Final
6,Variadic Generics,Final
2,Deprecate distutils module,Final
3,Metadata for Package Source Distributions,Final
9,Improving License Clarity with Better Package Metadata,Final
5,Filename of a Source Distribution,Final
4,Structural Pattern Matching: Specification,Final
1,Storing project metadata in pyproject.toml,Final
9,Versioning PyPI’s Simple API,Final
6,Precise line numbers for debugging and other tools.,Final
7,Recording installed projects,Final
8,Add,Final
4,Remove Py_UNICODE encoder APIs,Final
8,Add Optional Length-Checking To zip,Final
3,Explicit Type Aliases,Final
3,Remove wstr from Unicode,Final
7,New PEG parser for CPython,Final
6,String methods to remove prefixes and suffixes,Final
5,Support for the IANA Time Zone Database in the Standard Library,Final
7,Add optional EncodingWarning,Final
4,Relaxing Grammar Restrictions On Decorators,Final
2,Parameter Specification Variables,Final
0,Recording the Direct URL Origin of installed distributions,Final
4,Allow writing union types as,Final
0,Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,Final
1,Adding a final qualifier to typing,Final
2,Adding “Yank” Support to the Simple API,Final
3,Flexible function and variable annotations,Final
4,Removing dead batteries from the standard library,Final
0,Vectorcall: a fast calling protocol for CPython,Final
4,Add Union Operators To dict,Final
6,Literal Types,Final
7,Python Initialization Configuration,Final
5,Type Hinting Generics In Standard Collections,Final
9,TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,Final
5,Show DeprecationWarning in __main__,Final
8,Python Runtime Audit Hooks,Final
4,Pickle protocol 5 with out-of-band data,Final
0,Python Positional-Only Parameters,Final
2,Assignment Expressions,Final
7,Context Variables,Final
6,Metadata for Python Software Packages 2.1,Final
3,Module State Access from C Extension Methods,Final
0,Core support for typing module and generic types,Final
4,Add new time functions with nanosecond resolution,Final
2,Deterministic pycs,Final
2,Module __getattr__ and __dir__,Final
1,Distributing and Packaging Type Information,Final
8,Coercing the legacy C locale to a UTF-8 based locale,Final
7,Data Classes,Final
3,Built-in breakpoint(),Final
4,Protocols: Structural subtyping (static duck typing),Final
0,Add a new UTF-8 Mode,Final
7,Removing Un(der)used file types/extensions on PyPI,Final
9,A New C-API for Thread-Local Storage in CPython,Final
4,Make os.urandom() blocking on Linux,Final
0,Asynchronous Comprehensions,Final
8,Change Windows console encoding to UTF-8,Final
9,Change Windows filesystem encoding to UTF-8,Final
6,Syntax for Variable Annotations,Final
5,Asynchronous Generators,Final
3,Adding a frame evaluation API to CPython,Final
0,Preserving Class Attribute Definition Order,Final
9,Adding a file system path protocol,Final
3,Simple Repository API,Final
8,Specifying Minimum Build System Requirements for Python Projects,Final
5,Underscores in Numeric Literals,Final
8,Dependency specification for Python Software Packages,Final
7,A build-system independent format for source trees,Final
6,Adding A Secrets Module To The Standard Library,Final
5,Local Time Disambiguation,Final
8,Literal String Interpolation,Final
7,Simpler customisation of class creation,Final
3,HTTPS verification migration tools for Python 2.7,Final
9,Multi-phase extension module initialization,Final
2,Coroutines with async and await syntax,Final
8,Elimination of PYO files,Final
6,Make the Python Launcher aware of virtual environments,Final
5,A Function for testing approximate equality,Final
9,Change StopIteration handling inside generators,Final
4,Type Hints,Final
7,Backport ensurepip (PEP 453) to Python 2.7,Final
1,Adding % formatting to bytes and bytearray,Final
5,A dedicated infix operator for matrix multiplication,Final
5,Retry system calls failing with EINTR,Final
6,Enabling certificate verification by default for stdlib http clients,Final
8,Preserving the order of **kwargs in a function.,Final
1,A ModuleSpec Type for the Import System,Final
6,Network Security Enhancements for Python 2.7.x,Final
6,Secure and interchangeable hash algorithm,Final
4,Add a new tracemalloc module to trace Python memory allocations,Final
3,Explicit bootstrapping of pip in Python installations,Final
0,Adding A Statistics Module To The Standard Library,Final
8,Additional Unpacking Generalizations,Final
6,Make newly created file descriptors non-inheritable,Final
5,Add new APIs to customize Python memory allocators,Final
1,Improving Python ZIP Application Support,Final
3,Single-dispatch generic functions,Final
2,Safe object finalization,Final
5,Compatibility Tags for Built Distributions,Final
1,Adding sys.implementation,Final
0,Version Identification and Dependency Specification,Final
6,The Argument Clinic DSL,Final
5,Adding an Enum type to the Python standard library,Final
7,The Wheel Binary Package Format 1.0,Final
4,A method for exposing a length hint,Final
5,Python Virtual Environments,Final
